"COLLECTION","CITATION_TYPE","TYPE_STATUS","NUMBER_CATALOG_ITEMS","NUMBER_OF_IMAGES","NUMBER_OF_TYPES_WITH_IMAGES","ENTERED_DATE"
"Cryogenic","Voucher","Voucher","2","0","0","2014"
"Cryogenic","Voucher","Voucher","1","0","0","2014"
"Cryogenic","Voucher","Voucher","1","0","0","2014"
"Cryogenic","Voucher","Voucher","1","0","0","2022"
"Cryogenic","Secondary","Paratype","1","0","0","2022"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","2","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","2","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2012"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2013"
"Cryogenic","Voucher","Genetic Voucher","2","0","0","2014"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2014"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2014"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","2","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","4","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","3","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","2","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","2","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2016"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2017"
"Cryogenic","Voucher","Genetic Voucher","5","0","0","2017"
"Cryogenic","Voucher","Genetic Voucher","6","0","0","2017"
"Cryogenic","Voucher","Genetic Voucher","1","0","0","2017"
"Cryogenic","Voucher","Additional Material","1","0","0","2012"
"Mammalogy","Voucher","Figured","1","8","1","2002"
"Mammalogy","Voucher","Figured","1","1","1","2002"
"Mammalogy","Voucher","Figured","1","11","1","2004"
"Mammalogy","Voucher","Figured","1","2","1","2005"
"Mammalogy","Voucher","Figured","1","1","1","2005"
"Mammalogy","Voucher","Figured","1","1","1","2006"
"Mammalogy","Voucher","Figured","1","0","0","2014"
"Mammalogy","Primary","Syntype","1","0","0","2002"
"Mammalogy","Primary","Syntype","1","0","0","2003"
