"COLLECTION_OBJECT_ID","LASTUSER","COLLECTION","LASTDATE","SCIENTIFIC_NAME","STATE_PROV"
908306,"MCZBASE","Malacology",14-JAN-22,"Amphissa columbiana","Alaska"
908308,"MCZBASE","Malacology",14-JAN-22,"Amphissa columbiana","Alaska"
908310,"MCZBASE","Malacology",14-JAN-22,"Amphissa cymata","California"
908312,"MCZBASE","Malacology",09-FEB-22,"Amphissa cymata","California"
908314,"MCZBASE","Malacology",09-FEB-22,"Amphissa reticulata","California"
908316,"MCZBASE","Malacology",09-FEB-22,"Amphissa reticulata","California"
908318,"MCZBASE","Malacology",09-FEB-22,"Amphissa reticulata","California"
908320,"MCZBASE","Malacology",09-FEB-22,"Amphissa reticulata","California"
908322,"MCZBASE","Malacology",14-JAN-22,"Amphissa reticulata","California"
908324,"MCZBASE","Malacology",09-FEB-22,"Amphissa reticulata","California"
908326,"MCZBASE","Malacology",14-JAN-22,"Amphissa reticulata","California"
908328,"MCZBASE","Malacology",09-FEB-22,"Amphissa reticulata","California"
908330,"MCZBASE","Malacology",14-JAN-22,"Amphissa reticulata","California"
908332,"MCZBASE","Malacology",14-JAN-22,"Amphissa reticulata","Washington"
908334,"MCZBASE","Malacology",14-JAN-22,"Amphissa reticulata","California"
908336,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908338,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908340,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908342,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908344,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908490,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908492,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908494,"MCZBASE","Malacology",14-JAN-22,"Amphissa undata","California"
908502,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908504,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908506,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908508,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908510,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908512,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908518,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908520,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908522,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908524,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908526,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908528,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908530,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908532,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908534,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908130,"MCZBASE","Malacology",09-FEB-22,"Amphissa bicolor","California"
908132,"MCZBASE","Malacology",14-JAN-22,"Amphissa bicolor","California"
908134,"MCZBASE","Malacology",14-JAN-22,"Amphissa bicolor","California"
908136,"MCZBASE","Malacology",14-JAN-22,"Amphissa bicolor","California"
908138,"MCZBASE","Malacology",14-JAN-22,"Amphissa bicolor","California"
908140,"MCZBASE","Malacology",09-FEB-22,"Amphissa columbiana","California"
908142,"MCZBASE","Malacology",09-FEB-22,"Amphissa columbiana","California"
908144,"MCZBASE","Malacology",09-FEB-22,"Amphissa columbiana","California"
908146,"MCZBASE","Malacology",09-FEB-22,"Amphissa columbiana","California"
908150,"MCZBASE","Malacology",09-FEB-22,"Amphissa columbiana","California"
908152,"MCZBASE","Malacology",14-JAN-22,"Amphissa columbiana","California"
908674,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908676,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908678,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908680,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908682,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908684,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908686,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908688,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908690,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908692,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908696,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908698,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908700,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","Washington"
908704,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
908712,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908714,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
908716,"MCZBASE","Malacology",09-FEB-22,"Amphissa versicolor","California"
931665,"MCZBASE","Malacology",09-FEB-22,"Amphissa columbiana","California"
931669,"MCZBASE","Malacology",14-JAN-22,"Amphissa reticulata","California"
931671,"MCZBASE","Malacology",14-JAN-22,"Amphissa versicolor","California"
956376,"MOLE","Malacology",09-FEB-22,"Amphinaias couchiana","Texas"
985202,"MCZBASE","Malacology",14-JAN-22,"Amphithalamus vallei","Puerto Rico"
1022900,"MCZBASE","Malacology",14-JAN-22,"Amphissa columbiana","Washington"
1025578,"MCZBASE","Malacology",31-MAR-22,"Amphissa bicolor",""
